Product ID,Optimal Price,Estimated Revenue
8681,93,17915.537591219716
1343,62,20413.305531058093
6694,64,12273.686409967035
8864,81,36340.579888044595
6091,80,20402.946962246893
8876,99,39127.80778789043
3448,92,15905.212064134912
6818,98,19394.38490902645
8942,92,11018.402516968528
4360,71,25285.733802724662
5410,94,42491.522846705084
2489,99,36768.15823764233
2738,88,36463.07675754497
5894,73,18216.309742531415
7927,45,12230.501263958276
1655,68,31302.555489362785
5865,92,24562.424875443874
9832,82,28017.93040885481
5571,42,9950.128800933757
3329,57,14844.900494558231
4276,96,32701.569884138684
8377,76,25792.0085011246
7564,82,13248.339743819313
7930,83,26205.794448989545
2067,83,27684.08684292042
6493,85,19005.88994740673
3048,77,36230.67056436013
6135,85,18269.973144658383
8115,84,32581.023535739536
9802,92,42334.50713589633
5336,88,31745.91394737971
6384,86,16106.050996426076
5133,96,18289.48361891391
8305,42,9977.619425152374
3783,85,15742.963302414835
3865,67,15281.470705206622
2522,99,30770.14299577122
7414,87,21945.030631244812
4605,69,18865.513203474482
8882,67,10608.667061948849
8556,88,30478.413736535727
4539,96,21144.817112523182
4410,97,31734.60705842715
7060,73,14014.913553227956
2654,95,22383.5947553247
